Question,Model Answer,True Answer,Correct?,Model Citation,Model Explanation
"Must we report the particulars of the payment account used for executing the payment transaction?

### Response:
",Yes,Yes,✅ Yes,"To record the particulars of the payment account and of the means of payment (to the extent that the means of payment is used in providing the payment service) of the service recipient used for executing the payment transaction, whether for transferring money or",Record-keeping is crucial for tracking payment transactions and preventing money laundering.
"Am I allowed to transition our banking systems to cloud computing?

### Response:
",Yes,Yes,✅ Yes,"It is t he supervisory approach toward aspects of technology, information security, and cyber defense to be a business enabler and to regard the transition of banking corporations’ systems to cloud computing, including material systems, as a part of technological innovation and development —all of which, subject to intelligent, cautious, and meticulous risk management.","Cloud computing can be a viable option for banking corporations, subject to proper risk management."
"Must we prepare a comprehensive risk appetite document at the firm level?

### Response:
",Yes,Yes,✅ Yes,"A banking corporation shall prepare a comprehensive risk appetite document at the firm level, as follows:","Comprehensive risk appetite document is required to ensure consistency with business strategy, liquidity and funding sources plan, and capital plan."
"Must we identify the cyber risks involved in our activities?

### Response:
",Yes,Yes,✅ Yes,"51. The banking corporation shall map the operational environment in which it operates, shall identify the cyber risks involved in its activities, and shall define policies for treating these risks, according to the level of the risk and the nature of the connections with other entities.",Risk identification is a crucial step in developing effective risk management strategies.
"Must we report to the board of directors about ML/FT risk at least once annually?

### Response:
",Yes,Yes,✅ Yes,"report to the board of directors or to one o f its committees (Risk Management or Audit), at least once annually, about ML/FT risk at the banking corporation,",Annual reporting to the board of directors is mandatory to ensure transparency and accountability in ML/FT risk management.
"Must the board of directors approve the banking corporation’s credit policy statement?

### Response:
",Yes,Yes,✅ Yes,"The board of directors of a banking corporation shall devise a credit management strategy, construct a risk management framework, and periodically approve and review the banking corporation’s credit policy statement.",The board of directors is responsible for overseeing the banking corporation's credit granting and credit-risk management activities.
"Am I allowed to use cloud computing for banking operations?

### Response:
",Yes,Yes,✅ Yes,"Cloud computing A model for enabling ubiquitous, convenient  on demand network access to a shared pool of configurable computer resources (e.g., networks, servers, storage, applications,","Cloud computing is permitted for banking operations, but only if it meets the requirements of this Directive."
"Must we assess the adequacy of provisions for credit risk?

### Response:
",Yes,Yes,✅ Yes,"to the assessment of asset quality, the adequacy of provisions, and the disclosure of credit risk.",Proper credit risk management requires regular assessments of asset quality and provision adequacy.
"Must we use measurement methods that correspond to the level and complexity of risks in our activity?

### Response:
",Yes,Yes,✅ Yes,The effectiveness of a banking corporation’s credit risk measurement process is,Appropriate measurement methods ensure accurate risk assessment and compliance.
"Am I allowed to set borrower and borrower-group exposure limits?

### Response:
",Yes,Yes,✅ Yes,"including per-industry limits, borrower and borrower-group exposure limits,","Exposure limits are a crucial aspect of risk management, ensuring that borrowers and borrower groups do not exceed predetermined thresholds."
"Am I allowed to ignore risk management recommendations?

### Response:
",No,No,✅ Yes,"Even thou gh the risk management function is central in leading and coordinating risk-related actions, prime responsibility for ongoing risk management belongs to businesss line management.",Business line management must consider risk management recommendations.
"Should we implement mechanisms for the protection of our online presence?

### Response:
",Yes,Yes,✅ Yes,"The banking corporation shall determine suitable mechanisms for the protection of its online presence and in particular, protection against the threats involved with its activity in social networks.",Implementing online presence protection mechanisms is essential to mitigate cyber risks.
"Am I allowed to record the identification particulars of the service recipient?

### Response:
",Yes,Yes,✅ Yes,To record the identification particulars detailed in Section 2(a) of the Order regarding the service recipient.,Identification particulars must be recorded in accordance with the Order.
"Am I allowed to ignore scenarios of counterparty bankruptcy when setting credit limits?

### Response:
",No,No,✅ Yes,"Limits should also factor in scenarios of counterparty bankruptcy, suspension of proceedings, etc., particularly in respect of unsecured exposures.",Ignoring scenarios of counterparty bankruptcy would be a non-compliant practice.
"Can we alter credit granting criteria to accommodate related companies?

### Response:
",No,No,✅ Yes,A banking corporation’s credit granting criteria should not be altered to accommodate related companies and individuals.,Credit granting criteria must remain unchanged for related parties.
"Must we assess the borrower's creditworthiness before granting consumer credit?

### Response:
",Yes,Yes,✅ Yes,"Criteria for granting consumer credit, which will at least include an assessment of the borrower’s creditworthiness, their credit score, and their history with the banking corporation;",Compliance with this regulation ensures that lending decisions are based on thorough borrower assessments.
"Must we carry out reviews only when significant transactions occur?

### Response:
",No,No,✅ Yes,"b) Said reviews shall be carried out at times and upon the occurrence of events that the banking corporation specifies in its procedures, e.g., when a significant transaction is about to take place,","Reviews are required at specified times and upon specified events, not only when significant transactions occur."
"Must we have a system for the ongoing administration of our credit risk-bearing portfolios?

### Response:
",Yes,Yes,✅ Yes,A banking corporation shall have in place a system for the ongoing administration of its various credit risk-bearing portfolios.,Ongoing portfolio administration is essential for effective credit risk management.
"Must we establish clear guidelines concerning the target market for credit?

### Response:
",Yes,Yes,✅ Yes,"These criteria shall include clear guidelines concerning the target market and athorough understanding of the borrower or counterparty, the purpose and structure of the credit, and its source of repayment.",Clear guidelines for the target market are necessary to ensure sound credit activity.
"Am I allowed to skip documentation of the credit control function's activity?

### Response:
",No,No,✅ Yes,"The activity of the credit control function, particularly choosing the sample, shall be documented and include, among other things, the list of all the loans reviewed and a summary of the analysis on which the ratings or classifications",Documentation is required to ensure transparency and accountability.
"Must we use sophisticated models for adverse scenario analyses?

### Response:
",Yes,No,❌ No,"Typically, sophisticated models are used, in Israel and abroad, by large, internationally active banks.","Sophisticated models are required for adverse scenario analyses, especially for large, internationally active banks."
"Is the credit risk strategy allowed to be inconsistent over time?

### Response:
",No,No,✅ Yes,"Therefore, the strategy should take into account the cyclical aspects of the economy and the resulting shifts in the composition and quality of the overall credit portfolio.",Consistency in the credit risk strategy is necessary to ensure adequate capital for risks and effective risk management.
"Is undue influence allowed when disclosing information about virtual currency service providers?

### Response:
",No,No,✅ Yes,"Furthermore, the disclosure will be made i n a manner that does not constitute the imposition of undue influence on the customer with respect to the virtual currency service provider.",Undue influence is not permitted when disclosing information about virtual currency service providers.
"Must we segregate the workout function from the area that originated the credit?

### Response:
",Yes,Yes,✅ Yes,"When a banking corporation has significant credit-related problems, the workout function shall be segregated from the area that originated the credit because the additional resources, expertise, and more concentrated focus of a specialized",Segregation ensures that the workout function receives necessary resources and expertise to effectively manage problem credits.
"Am I allowed to trust the data shown by the cloud-computing service?

### Response:
",No,No,✅ Yes,1. a situation in which the cloud -computing service may remain active and ,The cloud-computing service's reliability cannot be trusted in certain situations.
"Am I allowed to open an account without a written declaration from the customer?

### Response:
",No,No,✅ Yes,Opening the account shall be contingent on a written declaration by the customer that this is the customer’s only account in Israel.,Customers must provide a written declaration that they have no other accounts in Israel.
"Am I allowed to ignore country risk when granting credit internationally?

### Response:
",No,No,✅ Yes,"Country risk encompasses the entire spectrum of risks arising from the economic, political,",Country risk must be considered when granting credit internationally to avoid potential losses.
"Are we required to notify the Banking Supervision Department if a foreign company we control is not compliant with the Directive?

### Response:
",Yes,Yes,✅ Yes,"(d) A banking corporation shall advise the Banking Supervision Department  whenever a foreign company that it controls, a foreign company in which it is  an interested party, or a branch of the banking corporation abroad is not  operating in accordance with this Directive because the Directive clashes with  local laws.",Notification is required to ensure compliance with local laws.
"Must the board of directors consider the risk management function's views in business decisions?

### Response:
",Yes,Yes,✅ Yes,"The board of directors, senior management, and business lines shall ensure that the risk management function’s views figure importantly in the considerations behind business decisions.",Risk management views must be considered in business decisions to ensure effective risk management.
"Is a Management Information System necessary for risk monitoring?

### Response:
",Yes,Yes,✅ Yes,20. Management Information System 310-20,A Management Information System is necessary for risk monitoring to provide timely and accurate information for informed decision-making.
"Must we report deviations from the risk appetite and exposure limits?

### Response:
",Yes,Yes,✅ Yes,an itemized account of deviations from the banking corporation ’s risk appetite and exposure limits in the reporting period and a description of management’s actions to deal with them;,Reporting deviations is necessary to ensure transparency and accountability.
"Am I allowed to ignore a cyber incident alert?

### Response:
",No,No,✅ Yes,"The banking corporation shall report to the Supervisor of Banks on a cyber incident or on a cyber incident alert, in accordance with the Reporting to Banking Supervision Directive.",Reporting cyber incidents is a mandatory requirement to ensure effective supervision and incident response.
"Am I allowed to disregard the quality of the borrower in underwriting?

### Response:
",No,No,✅ Yes,"The abovementioned will be determined on a conservative basis, will be documented in the policy, and maximum credit amounts will be determined.","Conservative underwriting is required, taking into account the quality of the borrower."
"Must we report on high-risk correspondent accounts to senior management?

### Response:
",Yes,Yes,✅ Yes,Reportage on high-risk correspondent accounts and the manner of their monitoring shall be brought to the knowledge of senior management on an ongoing basis.,Ongoing reporting is required to ensure senior management is informed of potential risks.
"Must we record the identifying particulars of persons who establish a trusteeship?

### Response:
",Yes,Yes,✅ Yes,"A banking corporation shall record the identifying particulars of persons who establish and, if any, serve as protectors of a trusteeship and shall take reasonable measures, relative to the extent of ML/FT risk, to verify their identity.",Recording identifying particulars is necessary to prevent money laundering and terrorist financing risks associated with trusteeships.
