Question,Target Source,Retrieved Candidates,Hit
Is it acceptable for the board of directors to ratify the risk appetite document every two years?,"310_et.pdf, Page 15","['310_et.pdf', '310_et.pdf', '310_et.pdf', '310_et.pdf', '310_et.pdf']",1
Must we report to the board of directors about ML/FT risk at least once annually?,"411_et.pdf, Page 7","['411_et.pdf', '411_et.pdf', '310_et.pdf', '411_et.pdf', '310_et.pdf']",1
Must we report an unusual transaction to the Competent Authority even if we terminate relations with the customer?,"411_et.pdf, Page 24","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Must we report an unusual transaction promptly under Section 9 of the Order?,"411_et.pdf, Page 21","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Must we conduct stress testing on our credit portfolio to assess macroeconomic impacts?,"311_et.pdf, Page 12","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
Am I allowed to ignore the need for reporting irregular activity if a transaction is not performed?,"411_et.pdf, Page 24","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Must we consider generic contacts for all customers as initiated credit marketing?,"311_et.pdf, Page 2","['311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '311a_en.pdf']",0
Am I allowed to grant credit to related parties without special approval?,"311_et.pdf, Page 2","['311_et.pdf', '411_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
Am I allowed to ignore the revisions in Circular no. 2579?,"362_et.pdf, Page 12","['311a_en.pdf', '362_et.pdf', '311_et.pdf', '311_et.pdf', '411_et.pdf']",1
Should banks consider implementing blockchain technology for transaction processing?,"311_et.pdf, Page 30","['311_et.pdf', '362_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Must we document credit marketing activities to customers regardless of whether credit was granted?,"311_et.pdf, Page 5","['311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '311a_en.pdf']",0
Is it permissible to ignore the desired risk profile when issuing loans?,"311_et.pdf, Page 12","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '310_et.pdf']",1
What is the budget allocated for the implementation of the cyber risk management framework?,"361_et.pdf, Page 12","['361_et.pdf', '361_et.pdf', '361_et.pdf', '361_et.pdf', '361_et.pdf']",1
Is the subsidiary's management solely responsible for risk management without oversight from the board of directors?,"310_et.pdf, Page 12","['310_et.pdf', '310_et.pdf', '310_et.pdf', '310_et.pdf', '310_et.pdf']",1
Must we obtain relevant customer information if it is found to be lacking?,"411_et.pdf, Page 19","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '311a_en.pdf']",1
Am I allowed to offer consumer credit to a customer who specifically requested it?,"311_et.pdf, Page 2","['311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '311a_en.pdf']",0
How can we improve customer service in our retail banking branches?,"310_et.pdf, Page 20","['311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '411_et.pdf', '311a_en.pdf']",0
Must we apply in writing to the Supervisor of Banks before producing a new product related to crypto assets?,"310_et.pdf, Page 17","['310_et.pdf', '310_et.pdf', '310_et.pdf', '311_et.pdf', '310_et.pdf']",1
Must we ensure that business units are trained to implement the AML/CFT policy?,"411_et.pdf, Page 10","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
What specific qualifications are required for the AML/CFT Officer of the parent company?,"411_et.pdf, Page 10","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Must we provide regular training to staff on anti-money laundering procedures?,"411_et.pdf, Page 20","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Am I allowed to provide credit to borrowers with leverage higher than the materiality threshold?,"311_et.pdf, Page 12","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '311a_en.pdf']",1
Must we report any deficiencies in risk estimates clearly?,"310_et.pdf, Page 21","['310_et.pdf', '310_et.pdf', '361_et.pdf', '310_et.pdf', '310_et.pdf']",1
What are the specific qualifications required for the members of the credit risk management team?,"311_et.pdf, Page 3","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
Are we allowed to destroy documentation of reportage to the Competent Authority before seven years?,"411_et.pdf, Page 21","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Must the risk management framework be consistent with the risk appetite?,"310_et.pdf, Page 15","['310_et.pdf', '310_et.pdf', '310_et.pdf', '310_et.pdf', '310_et.pdf']",1
Must we report detected indicators of attack vectors to relevant entities?,"361_et.pdf, Page 19","['361_et.pdf', '361_et.pdf', '361_et.pdf', '361_et.pdf', '361_et.pdf']",1
Is the AML/CFT Officer exempt from compliance rules specified in Directive 308?,"411_et.pdf, Page 10","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Must we define the manner of calculating borrowers’ leverage level?,"311_et.pdf, Page 12","['311_et.pdf', '311a_en.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
Must we report temporary beneficiaries of nondistancing policies as regular clients?,"411_et.pdf, Page 47","['411_et.pdf', '411_et.pdf', '411_et.pdf', '311_et.pdf', '411_et.pdf']",1
Am I allowed to skip training on customer identification and due diligence?,"411_et.pdf, Page 19","['411_et.pdf', '311a_en.pdf', '411_et.pdf', '411_et.pdf', '311a_en.pdf']",1
What is the maximum amount of credit that can be approved by a banking corporation?,"311_et.pdf, Page 30","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
"Must we review credit ratings of large, complex, risky loans more frequently than annually?","311_et.pdf, Page 41","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
What specific criteria must a banking corporation use to evaluate the creditworthiness of a borrower?,"311_et.pdf, Page 22","['311_et.pdf', '311a_en.pdf', '311a_en.pdf', '311_et.pdf', '311a_en.pdf']",1
Is it acceptable to submit irrelevant information that impairs reporting effectiveness?,"310_et.pdf, Page 21","['310_et.pdf', '310_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Am I allowed to market credit offers at points of sale without any restrictions?,"311_et.pdf, Page 5","['311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '311a_en.pdf', '311a_en.pdf']",0
Can we begin producing a new product without assessing its risk and performance level first?,"310_et.pdf, Page 17","['310_et.pdf', '310_et.pdf', '310_et.pdf', '310_et.pdf', '311_et.pdf']",1
Must subsidiaries report their risk assessments to the parent company?,"310_et.pdf, Page 12","['310_et.pdf', '310_et.pdf', '310_et.pdf', '310_et.pdf', '411_et.pdf']",1
